u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,junction,maxspeed,access,ref,bridge,width,tunnel
245662490,1473471962,0,322981396,False,Vithoba Nathu Gawad Marg,residential,True,216.1,"LINESTRING (72.8886138 19.0333093, 72.888719 19.0331338, 72.8888343 19.0327918, 72.8888959 19.0322971, 72.8888251 19.0319197, 72.8887359 19.0314743, 72.8887264 19.0314271)",,,,,,,,
245662490,7358357973,0,1191876389,False,RCF Road,tertiary,False,808.5810000000001,"LINESTRING (72.8886138 19.0333093, 72.8890627 19.0335356, 72.8891613 19.0335883, 72.8909449 19.0344726, 72.8922992 19.0351337, 72.8923886 19.0351793, 72.8923274 19.035284, 72.8908802 19.0379549, 72.8908274 19.0380667)",,,,,,,,
245662490,7357662459,0,1191876389,False,RCF Road,tertiary,True,294.448,"LINESTRING (72.8886138 19.0333093, 72.8883428 19.033153, 72.8881544 19.0330444, 72.8879907 19.0329109, 72.8878398 19.0327693, 72.8877424 19.0326712, 72.8874849 19.0322736, 72.8873566 19.03199, 72.8872733 19.0316866, 72.8872372 19.0314216, 72.8872332 19.0311775)",,,,,,,,
245663765,3878559855,0,1124100709,False,B S Devashi Marg,secondary,False,17.108,"LINESTRING (72.9140531 19.0455324, 72.9141001 19.0456797)",,,,,,,,
245663765,10920966793,0,"[938247872, 215438452, 120515885]",False,Deonar Farm Road,residential,"[False, True]",1113.72,"LINESTRING (72.9140531 19.0455324, 72.914044 19.0453647, 72.9139124 19.0448375, 72.9138941 19.0447312, 72.9139401 19.0446401, 72.9141779 19.0443798, 72.9141918 19.0443064, 72.914165 19.0442216, 72.9139463 19.0438791, 72.9137357 19.0435759, 72.9135566 19.043318, 72.9133337 19.0425992, 72.9132415 19.0425413, 72.9131536 19.0425221, 72.9130265 19.0425395, 72.9128367 19.0426622, 72.91262 19.0427703, 72.9121159 19.043039, 72.9120958 19.0430497, 72.9118712 19.043113, 72.9117905 19.043115, 72.9117215 19.0431167, 72.9115499 19.0430632, 72.9115205 19.0430012, 72.9113384 19.0424306, 72.9113353 19.0422339, 72.9112604 19.0419619, 72.9111816 19.0418092, 72.9110358 19.0415596, 72.9110003 19.0413845, 72.9110042 19.041243, 72.9110436 19.0410194, 72.9111185 19.0406358, 72.9110905 19.0403543, 72.9110042 19.0394884, 72.910302 19.0395497, 72.9101889 19.0396094, 72.9101081 19.0396399, 72.9100263 19.0396399, 72.9097384 19.0396202)",,,,,,,,
245663765,2248801066,0,1305083841,True,Sion Panvel Highway,trunk,False,259.547,"LINESTRING (72.9140531 19.0455324, 72.9133567 19.0455613, 72.9130232 19.0455752, 72.9129318 19.0455797, 72.9117639 19.0456377, 72.9115866 19.0456434)",5,,,,,,,
245663817,2248801226,0,"[1311267195, 1311267196]",False,Trilok Kapoor Marg,residential,False,99.228,"LINESTRING (72.9051082 19.045855, 72.905155 19.046298, 72.9052417 19.0467376)",,,,,,,,
245663817,12384043771,0,1338811533,True,Choitram Gidwani Marg (Kolwada Borla Road),secondary,False,111.663,"LINESTRING (72.9051082 19.045855, 72.9056871 19.0458491, 72.9061705 19.0458442)",,,,,,,,
245663877,9679154878,0,1418069988,True,,trunk_link,False,40.857,"LINESTRING (72.9094591 19.0460893, 72.9097963 19.0459065)",,,,,,,,
245663877,528785934,0,1235796614,True,,trunk,False,46.852000000000004,"LINESTRING (72.9094591 19.0460893, 72.9094392 19.0459214, 72.9093995 19.0458463, 72.9093399 19.0457839, 72.9092659 19.0457367)",7,roundabout,,,,,,
245663894,9942486328,0,22845256,True,,trunk,False,42.331,"LINESTRING (72.9089703 19.0462973, 72.9090532 19.0463266, 72.9091413 19.0463342, 72.9092284 19.0463193, 72.9093076 19.0462835, 72.9093458 19.0462538)",7,roundabout,,,,,,
245663961,3878559855,0,1268419370,False,B S Devashi Marg,secondary,True,104.17,"LINESTRING (72.9141073 19.0466165, 72.9141001 19.0456797)",,,,,,,,
245663961,10279809048,0,1124100707,True,B S Devashi Marg,secondary,False,182.257,"LINESTRING (72.9141073 19.0466165, 72.9140442 19.0466831, 72.914114 19.0472933, 72.9141314 19.0473885, 72.9143168 19.0482093)",,,,,,,,
245664055,10279809048,0,22844553,False,D P Road,residential,False,12.298,"LINESTRING (72.9144325 19.0481928, 72.9143168 19.0482093)",,,,,,,,
245664055,8709114573,0,617622253,True,B S Devashi Marg,secondary,False,18.752,"LINESTRING (72.9144325 19.0481928, 72.9143999 19.048027)",,,,,,,,
245664114,9679154873,0,22844553,False,D P Road,residential,True,20.569,"LINESTRING (72.9100462 19.0488394, 72.9102388 19.0488066)",,,,,,,,
245664114,2248801519,0,134139328,True,Waman Tukaram Patil Marg,secondary,False,47.27,"LINESTRING (72.9100462 19.0488394, 72.9101562 19.0492516)",2,,,,,,,
