osmid,y,x,street_count,highway,geometry
245662490,19.0333093,72.8886138,3,,POINT (72.8886138 19.0333093)
245663765,19.0455324,72.9140531,4,traffic_signals,POINT (72.9140531 19.0455324)
245663817,19.045855,72.9051082,3,,POINT (72.9051082 19.045855)
245663877,19.0460893,72.9094591,3,,POINT (72.9094591 19.0460893)
245663894,19.0462973,72.9089703,3,traffic_signals,POINT (72.9089703 19.0462973)
245663961,19.0466165,72.9141073,3,,POINT (72.9141073 19.0466165)
245664055,19.0481928,72.9144325,3,,POINT (72.9144325 19.0481928)
245664114,19.0488394,72.9100462,3,,POINT (72.9100462 19.0488394)
245664187,19.049908,72.9005559,3,,POINT (72.9005559 19.049908)
245664191,19.0499086,72.9003015,3,,POINT (72.9003015 19.0499086)
245664455,19.0505089,72.900306,3,,POINT (72.900306 19.0505089)
245664662,19.0520984,72.9005347,4,traffic_signals,POINT (72.9005347 19.0520984)
245664764,19.0527529,72.9008717,3,,POINT (72.9008717 19.0527529)
245664779,19.0529987,72.8804974,3,,POINT (72.8804974 19.0529987)
245664842,19.0538405,72.8880497,3,,POINT (72.8880497 19.0538405)
245664865,19.053492,72.8809354,4,,POINT (72.8809354 19.053492)
245664866,19.0533102,72.8823963,3,traffic_signals,POINT (72.8823963 19.0533102)
245664869,19.0539471,72.8893813,4,traffic_signals,POINT (72.8893813 19.0539471)
245664905,19.0539841,72.8946942,4,traffic_signals,POINT (72.8946942 19.0539841)
245665060,19.0549396,72.9109894,4,traffic_signals,POINT (72.9109894 19.0549396)
245665186,19.0548287,72.9005079,3,,POINT (72.9005079 19.0548287)
245665197,19.0563775,72.8837233,5,,POINT (72.8837233 19.0563775)
245665275,19.0561448,72.8974389,3,,POINT (72.8974389 19.0561448)
245665303,19.056642,72.8952415,4,,POINT (72.8952415 19.056642)
245665304,19.0565067,72.8958394,3,,POINT (72.8958394 19.0565067)
245665307,19.0564351,72.8978484,3,,POINT (72.8978484 19.0564351)
245665344,19.0567284,72.9005503,4,,POINT (72.9005503 19.0567284)
245665354,19.056904,72.8872739,4,traffic_signals,POINT (72.8872739 19.056904)
245665375,19.0572667,72.9038382,3,,POINT (72.9038382 19.0572667)
245665419,19.0573258,72.9005625,4,,POINT (72.9005625 19.0573258)
245665475,19.0579183,72.9038418,3,,POINT (72.9038418 19.0579183)
245665495,19.0579894,72.900576,4,,POINT (72.900576 19.0579894)
245665583,19.0573215,72.8869918,3,,POINT (72.8869918 19.0573215)
245665597,19.0585235,72.9038277,3,,POINT (72.9038277 19.0585235)
245665637,19.0583939,72.8984173,3,,POINT (72.8984173 19.0583939)
245665679,19.0587817,72.8858965,4,traffic_signals,POINT (72.8858965 19.0587817)
245665680,19.0591177,72.9038573,3,,POINT (72.9038573 19.0591177)
245665702,19.0593098,72.8995596,3,,POINT (72.8995596 19.0593098)
245665723,19.0591704,72.9006001,4,,POINT (72.9006001 19.0591704)
245665748,19.0598306,72.8985041,3,,POINT (72.8985041 19.0598306)
245665776,19.0596332,72.8964358,3,,POINT (72.8964358 19.0596332)
245665982,19.0606543,72.8984205,3,,POINT (72.8984205 19.0606543)
245666164,19.06202,72.8834352,3,traffic_signals,POINT (72.8834352 19.06202)
245666475,19.0630091,72.9149519,4,traffic_signals,POINT (72.9149519 19.0630091)
245667692,19.0735183,72.9028377,3,traffic_signals,POINT (72.9028377 19.0735183)
245668052,19.0759669,72.8800151,4,,POINT (72.8800151 19.0759669)
245668490,19.0792963,72.9079577,4,,POINT (72.9079577 19.0792963)
245668515,19.0796532,72.8803239,5,traffic_signals,POINT (72.8803239 19.0796532)
278919343,19.0390888,72.8948845,3,,POINT (72.8948845 19.0390888)
278919550,19.0390665,72.8947592,4,,POINT (72.8947592 19.0390665)
528785879,19.046075,72.9088011,3,,POINT (72.9088011 19.046075)
528785934,19.0457367,72.9092659,3,traffic_signals,POINT (72.9092659 19.0457367)
528785949,19.0457295,72.9090118,3,traffic_signals,POINT (72.9090118 19.0457295)
529576444,19.0505199,72.9005172,3,,POINT (72.9005172 19.0505199)
619305731,19.0748371,72.9127401,3,,POINT (72.9127401 19.0748371)
632299700,19.0455063,72.8932657,4,traffic_signals,POINT (72.8932657 19.0455063)
632312691,19.0420862,72.8934702,3,,POINT (72.8934702 19.0420862)
632312696,19.047734,72.8933346,3,,POINT (72.8933346 19.047734)
632313012,19.0507622,72.8938663,4,traffic_signals,POINT (72.8938663 19.0507622)
632313274,19.0533218,72.8898799,3,,POINT (72.8898799 19.0533218)
1157625205,19.0686422,72.9038561,3,,POINT (72.9038561 19.0686422)
1232643956,19.0689075,72.8987337,3,,POINT (72.8987337 19.0689075)
1232644012,19.0685557,72.900476,3,traffic_signals,POINT (72.900476 19.0685557)
1232644013,19.0679594,72.8923582,3,,POINT (72.8923582 19.0679594)
1232644156,19.0679354,72.8971045,4,,POINT (72.8971045 19.0679354)
1232644197,19.0681221,72.9026691,3,,POINT (72.9026691 19.0681221)
1232644316,19.0676829,72.8927213,4,traffic_signals,POINT (72.8927213 19.0676829)
1232644335,19.0667369,72.8949664,3,,POINT (72.8949664 19.0667369)
1232644362,19.0650845,72.8964352,3,,POINT (72.8964352 19.0650845)
1232644427,19.0673842,72.9022692,3,,POINT (72.9022692 19.0673842)
1232644443,19.0677398,72.8985023,3,,POINT (72.8985023 19.0677398)
1232644505,19.0643742,72.8976319,3,,POINT (72.8976319 19.0643742)
1232644512,19.063349,72.8983876,3,,POINT (72.8983876 19.063349)
1232644519,19.0685331,72.8993155,3,,POINT (72.8993155 19.0685331)
1232644609,19.0700041,72.8983556,3,,POINT (72.8983556 19.0700041)
1232644635,19.0677185,72.8947132,3,,POINT (72.8947132 19.0677185)
1232644648,19.0700538,72.8964595,4,,POINT (72.8964595 19.0700538)
1232644665,19.0683195,72.8924407,3,,POINT (72.8924407 19.0683195)
1232644726,19.0658987,72.8954855,3,,POINT (72.8954855 19.0658987)
1232644762,19.0674623,72.9022101,3,,POINT (72.9022101 19.0674623)
1232644770,19.0697085,72.8970738,3,,POINT (72.8970738 19.0697085)
1232644913,19.0700425,72.9037499,3,,POINT (72.9037499 19.0700425)
1232644920,19.0704553,72.8989883,3,,POINT (72.8989883 19.0704553)
1232644928,19.0706496,72.8987012,3,,POINT (72.8987012 19.0706496)
