u,v,length
245662490,1473471962,216.1
245662490,7358357973,808.5810000000001
245662490,7357662459,294.448
245663765,3878559855,17.108
245663765,10920966793,1113.72
245663765,2248801066,259.547
245663817,2248801226,99.228
245663817,12384043771,111.663
245663877,9679154878,40.857
245663877,528785934,46.852000000000004
245663894,9942486328,42.331
245663961,3878559855,104.17
245663961,10279809048,182.257
245664055,10279809048,12.298
245664055,8709114573,18.752
245664114,9679154873,20.569
245664114,2248801519,47.27
245664187,9311818784,440.37300000000005
245664187,245664191,27.323999999999998
245664191,245664455,85.27700000000002
245664455,6573759451,181.885
245664455,529576444,22.508000000000003
245664662,6573759451,8.832
245664662,529576444,176.01899999999998
245664764,2248802128,74.319
245664764,2238597924,27.469
245664779,5792168761,39.259
245664842,1643351765,66.983
245664842,7357709459,179.847
245664865,8909137845,110.592
245664865,1642951842,131.726
245664866,1642951755,115.697
245664869,2248802276,38.819
245664869,1651387817,18.815
245664905,10939673573,28.884
245664905,4264598303,16.191
245665060,5911339572,42.392
245665060,10116201906,11.945
245665186,6488652331,64.986
245665186,6488201809,34.464
245665197,11143613411,8.93
245665197,11143613413,30.648
245665197,7383907165,25.393
245665275,4357273834,109.378
245665275,245665307,61.84100000000001
245665303,245665304,64.616
245665303,6583608251,133.081
245665303,4264598306,11.574
245665304,4357273834,63.481
245665304,245665303,64.616
245665304,4357273836,120.77
245665307,1643351830,40.461999999999996
245665307,1643351841,64.199
245665344,9311818794,7.8
245665344,1643351828,79.453
245665344,1367092933,390.444
245665354,10207397917,12.586
245665354,1643351843,9.697
245665375,245665475,72.456
245665375,1367092933,18.597
245665375,245665419,344.341
245665419,9311818792,7.811
245665419,245665375,344.341
245665419,1643351839,52.06
245665475,245665495,343.328
245665475,1651414451,2.766
245665475,245665375,72.456
245665495,9311818791,7.8
245665495,245665475,343.328
245665495,245665419,73.803
245665583,10207397919,11.935
245665583,7379608705,78.068
245665597,2322141826,340.545
245665597,245665680,66.145
245665597,1651414451,64.614
245665637,1651421946,40.456
245665637,4357273825,37.209
245665637,1651404921,43.508
245665679,10750564862,12.315
245665679,2246471647,155.112
245665680,245665597,66.145
245665680,245665723,342.424
245665680,1651414471,90.815
245665702,1651421946,117.062
245665702,10306082453,121.029
245665702,1643264330,97.536
245665723,9311818789,7.8
245665723,2322141826,65.395
245665723,245665680,342.424
245665748,10306082453,8.551
245665748,245665982,92.011
245665776,1643351856,33.905
245665776,4264598311,14.994
245665982,1651421961,13.452
245665982,245665748,92.011
245665982,1651414481,172.74800000000002
245666164,10207397928,9.29
245666164,1367093074,13.549
245666475,12882834605,12.883
245666475,3212163820,365.243
245667692,2146269450,163.467
245667692,2146270424,87.83
245668052,12068018711,91.729
245668052,2246472442,89.935
245668490,2246472636,74.489
245668490,1643047705,86.125
245668515,10770722930,14.339
